===== TRAIN MASKED COMPLETION DDPM 10K =====
[train-ddpm] training degradation filter=['mask_dropout', 'mixed_structured', 'lowfreq_atmospheric_bias', 'blur_downsample_upsample'] probs={'blur_downsample_upsample': 0.18, 'lowfreq_atmospheric_bias': 0.18, 'mixed_structured': 0.2, 'mask_dropout': 0.07}
[train-ddpm] validation degradation filter=['mask_dropout', 'mixed_structured', 'lowfreq_atmospheric_bias', 'blur_downsample_upsample'] probs={'blur_downsample_upsample': 0.18, 'lowfreq_atmospheric_bias': 0.18, 'mixed_structured': 0.2, 'mask_dropout': 0.07}
[train-ddpm] degradation_profile=hard  types=['blur_downsample_upsample', 'lowfreq_atmospheric_bias', 'mixed_structured', 'mask_dropout']
[train-ddpm] eligible train samples=9000 batches=4500  val samples=1000 batches=500
[train-ddpm] masked_completion mode: loaded frozen base U-Net (6,611,011 params) from outputs/unet_hard_50k_b6w8/ckpt_best.pt
[train-ddpm] residual_scale=auto resolved to 0.08508 (method=std, samples=16, abs_mean=0.05729, std=0.08508, mad=0.04524, p95=0.17519)
[train-ddpm] masked_completion_target=residual  masked_loss_min_weight=0.050  masked_context_consistency_weight=0.050  residual_scale=0.08508
[train-ddpm] residual_clip=0.1000  residual_blend=1.000
[train-ddpm] residual_gate_mode=none  return_degradation_mask=True  return_reliability_map=True
[train-ddpm] fixed val samples cached: 4 kinds=['mixed_structured', 'mixed_structured', 'blur_downsample_upsample', 'blur_downsample_upsample']
[train-ddpm] device=cuda  mode=masked_completion  cond_ch=8  params=2,331,747  train=9000  val=1000  T=1000
[train-ddpm] ep0 step0 masked_mse_eps=0.9998 mask_only=0.9998 mask_area_fraction=1.0000
[train-ddpm] ep0 step20 masked_mse_eps=0.9495 mask_only=0.9495 mask_area_fraction=1.0000
[train-ddpm] ep0 step40 masked_mse_eps=0.8810 mask_only=0.8810 mask_area_fraction=1.0000
[train-ddpm] ep0 step60 masked_mse_eps=0.8465 mask_only=0.8465 mask_area_fraction=1.0000
[train-ddpm] ep0 step80 masked_mse_eps=0.6946 mask_only=0.6946 mask_area_fraction=1.0000
[train-ddpm] ep0 step100 masked_mse_eps=0.6537 mask_only=0.6537 mask_area_fraction=1.0000
[train-ddpm] ep0 step120 masked_mse_eps=0.5319 mask_only=0.5309 mask_area_fraction=0.5545
[train-ddpm] ep0 step140 masked_mse_eps=0.4882 mask_only=0.4882 mask_area_fraction=1.0000
[train-ddpm] ep0 step160 masked_mse_eps=0.4179 mask_only=0.4178 mask_area_fraction=0.5420
[train-ddpm] ep0 step180 masked_mse_eps=0.3921 mask_only=0.3921 mask_area_fraction=1.0000
[train-ddpm] ep0 step200 masked_mse_eps=0.7254 mask_only=0.7254 mask_area_fraction=1.0000
[train-ddpm] ep0 step220 masked_mse_eps=0.5181 mask_only=0.5181 mask_area_fraction=1.0000
