===== TRAIN HARD U-NET =====
[train] degradation_profile=hard  types=['speckle_multiplicative', 'blur', 'downsample_upsample', 'blur_downsample_upsample', 'lowfreq_atmospheric_bias', 'mixed_structured', 'gaussian_additive', 'mask_dropout']
[train] fixed val samples cached: 8 kinds=['speckle_multiplicative', 'speckle_multiplicative', 'mixed_structured', 'lowfreq_atmospheric_bias', 'speckle_multiplicative', 'mask_dropout', 'blur_downsample_upsample', 'lowfreq_atmospheric_bias']
[train] device=cuda  params=6,611,011  train=45000  val=5000
[train] ep0 step0 loss=0.1902 l1=0.1210
[train] ep0 step20 loss=0.2048 l1=0.1142
[train] ep0 step40 loss=0.3022 l1=0.1477
[train] ep0 step60 loss=0.1419 l1=0.0704
[train] ep0 step80 loss=0.1742 l1=0.1021
[train] ep0 step100 loss=0.1365 l1=0.0707
[train] ep0 step120 loss=0.2332 l1=0.1249
[train] ep0 step140 loss=0.1262 l1=0.0912
[train] ep0 step160 loss=0.1174 l1=0.0749
[train] ep0 step180 loss=0.1270 l1=0.0728
[train] ep0 step200 loss=0.1120 l1=0.0685
[train] ep0 step220 loss=0.1498 l1=0.0850
[train] ep0 step240 loss=0.1734 l1=0.0982
[train] ep0 step260 loss=0.1284 l1=0.0719
[train] ep0 step280 loss=0.0947 l1=0.0643
[train] ep0 step300 loss=0.1286 l1=0.0743
[train] ep0 step320 loss=0.1645 l1=0.0958
[train] ep0 step340 loss=0.1310 l1=0.0730
[train] ep0 step360 loss=0.1220 l1=0.0644
[train] ep0 step380 loss=0.1661 l1=0.0931
[train] ep0 step400 loss=0.1528 l1=0.0803
[train] ep0 step420 loss=0.0917 l1=0.0647
[train] ep0 step440 loss=0.1076 l1=0.0575
[train] ep0 step460 loss=0.2075 l1=0.1098
[train] ep0 step480 loss=0.1007 l1=0.0599
[train] ep0 step500 loss=0.1567 l1=0.0925
[train] ep0 step520 loss=0.1001 l1=0.0645
[train] ep0 step540 loss=0.1641 l1=0.0848
[train] ep0 step560 loss=0.1347 l1=0.0817
[train] ep0 step580 loss=0.0693 l1=0.0447
[train] ep0 step600 loss=0.1268 l1=0.0799
[train] ep0 step620 loss=0.0973 l1=0.0628
[train] ep0 step640 loss=0.1312 l1=0.0688
[train] ep0 step660 loss=0.1517 l1=0.0992
[train] ep0 step680 loss=0.1048 l1=0.0714
[train] ep0 step700 loss=0.1251 l1=0.0578
[train] ep0 step720 loss=0.1519 l1=0.0970
[train] ep0 step740 loss=0.1150 l1=0.0722
[train] ep0 step760 loss=0.1031 l1=0.0702
[train] ep0 step780 loss=0.1527 l1=0.0818
[train] ep0 step800 loss=0.1155 l1=0.0618
[train] ep0 step820 loss=0.1151 l1=0.0750
[train] ep0 step840 loss=0.1145 l1=0.0714
[train] ep0 step860 loss=0.0928 l1=0.0583
[train] ep0 step880 loss=0.1134 l1=0.0659
[train] ep0 step900 loss=0.1410 l1=0.0861
[train] ep0 step920 loss=0.1699 l1=0.0940
[train] ep0 step940 loss=0.0956 l1=0.0594
[train] ep0 step960 loss=0.0774 l1=0.0427
[train] ep0 step980 loss=0.1166 l1=0.0617
[train] ep0 step1000 loss=0.0917 l1=0.0502
[train] ep0 step1020 loss=0.1031 l1=0.0559
[train] ep0 step1040 loss=0.1329 l1=0.0732
[train] ep0 step1060 loss=0.0993 l1=0.0758
[train] ep0 step1080 loss=0.1235 l1=0.0613
[train] ep0 step1100 loss=0.1047 l1=0.0761
[train] ep0 step1120 loss=0.0827 l1=0.0463
[train] ep0 step1140 loss=0.1051 l1=0.0479
[train] ep0 step1160 loss=0.1180 l1=0.0682
[train] ep0 step1180 loss=0.1228 l1=0.0863
[train] ep0 step1200 loss=0.1100 l1=0.0853
[train] ep0 step1220 loss=0.1919 l1=0.0959
[train] ep0 step1240 loss=0.1391 l1=0.0655
[train] ep0 step1260 loss=0.1298 l1=0.0715
[train] ep0 step1280 loss=0.1226 l1=0.0657
[train] ep0 step1300 loss=0.1133 l1=0.0667
[train] ep0 step1320 loss=0.1172 l1=0.0717
[train] ep0 step1340 loss=0.2205 l1=0.1159
[train] ep0 step1360 loss=0.1133 l1=0.0647
[train] ep0 step1380 loss=0.0648 l1=0.0352
[train] ep0 step1400 loss=0.1189 l1=0.0640
[train] ep0 step1420 loss=0.1043 l1=0.0659
[train] ep0 step1440 loss=0.1457 l1=0.0852
[train] ep0 step1460 loss=0.1111 l1=0.0654
[train] ep0 step1480 loss=0.1578 l1=0.0818
[train] ep0 step1500 loss=0.1243 l1=0.0816
[train] ep0 step1520 loss=0.1308 l1=0.0780
[train] ep0 step1540 loss=0.1222 l1=0.0822
[train] ep0 step1560 loss=0.1012 l1=0.0696
[train] ep0 step1580 loss=0.1794 l1=0.1034
[train] ep0 step1600 loss=0.0754 l1=0.0447
[train] ep0 step1620 loss=0.0793 l1=0.0509
[train] ep0 step1640 loss=0.1592 l1=0.0972
[train] ep0 step1660 loss=0.0725 l1=0.0565
[train] ep0 step1680 loss=0.1170 l1=0.0599
[train] ep0 step1700 loss=0.1428 l1=0.0812
[train] ep0 step1720 loss=0.1462 l1=0.0945
[train] ep0 step1740 loss=0.1202 l1=0.0721
[train] ep0 step1760 loss=0.1280 l1=0.0817
[train] ep0 step1780 loss=0.1183 l1=0.0598
[train] ep0 step1800 loss=0.0959 l1=0.0548
[train] ep0 step1820 loss=0.1600 l1=0.0891
[train] ep0 step1840 loss=0.0901 l1=0.0489
[train] ep0 step1860 loss=0.1313 l1=0.0884
[train] ep0 step1880 loss=0.1208 l1=0.0675
[train] ep0 step1900 loss=0.0731 l1=0.0393
[train] ep0 step1920 loss=0.1027 l1=0.0643
[train] ep0 step1940 loss=0.1108 l1=0.0688
[train] ep0 step1960 loss=0.1535 l1=0.0859
[train] ep0 step1980 loss=0.1189 l1=0.0642
[train] ep0 step2000 loss=0.0956 l1=0.0510
[train] ep0 step2020 loss=0.1297 l1=0.0724
[train] ep0 step2040 loss=0.0802 l1=0.0556
[train] ep0 step2060 loss=0.0866 l1=0.0458
[train] ep0 step2080 loss=0.1268 l1=0.0738
[train] ep0 step2100 loss=0.0765 l1=0.0529
[train] ep0 step2120 loss=0.0730 l1=0.0583
[train] ep0 step2140 loss=0.1463 l1=0.0742
[train] ep0 step2160 loss=0.0921 l1=0.0570
[train] ep0 step2180 loss=0.1382 l1=0.0896
[train] ep0 step2200 loss=0.1439 l1=0.0810
[train] ep0 step2220 loss=0.0959 l1=0.0570
[train] ep0 step2240 loss=0.0945 l1=0.0522
[train] ep0 step2260 loss=0.1765 l1=0.1039
[train] ep0 step2280 loss=0.1509 l1=0.0774
[train] ep0 step2300 loss=0.0925 l1=0.0488
[train] ep0 step2320 loss=0.0995 l1=0.0530
[train] ep0 step2340 loss=0.1198 l1=0.0754
[train] ep0 step2360 loss=0.1075 l1=0.0559
[train] ep0 step2380 loss=0.0845 l1=0.0440
[train] ep0 step2400 loss=0.1629 l1=0.0820
[train] ep0 step2420 loss=0.0929 l1=0.0631
[train] ep0 step2440 loss=0.0827 l1=0.0488
[train] ep0 step2460 loss=0.1180 l1=0.0822
[train] ep0 step2480 loss=0.1285 l1=0.0699
[train] ep0 step2500 loss=0.0813 l1=0.0519
[train] ep0 step2520 loss=0.1254 l1=0.0704
[train] ep0 step2540 loss=0.0902 l1=0.0431
[train] ep0 step2560 loss=0.0722 l1=0.0381
